234,ARTICLE 23,Fiction,2010,DELEPINE Jean-Pierre,LA FEMME ENDORMIE
235,BYE BYE BLONDIE,Fiction,2010,DESPENTES Virginie,MASTER MOVIES / RED STAR CINEMA / WILD BUNCH
236,COLOMBIANA,Fiction,2010,MEGATON Olivier,EUROPACORP / GRIVE PRODUCTIONS / TF1 FILMS PRODUCTION
237,CONQUETE (LA),Fiction,2010,DURRINGER Xavier,GAUMONT / MANDARIN / MANDARIN CINEMA / SOCIETE NOUVELLE DE CINEMATOGRAPHIE
238,HIVER DERNIER (L'),Fiction,2010,SHANK John,SILEX
239,PAS A PAS,Documentaire,2010,LI Blanca,FILM ADDICT
240,POLISSE,Fiction,2010,LE BESCO Maiwenn,ARTE FRANCE CINEMA / CHAOCORP / KABO FILMS / LES PRODUCTIONS DU TRESOR / MARS FILMS
241,POUPOUPIDOU,Fiction,2010,HUSTACHE-MATHIEU Gerald,DHARAMSALA / FRANCE 2 CINEMA
242,STALINGRAD LOVERS,Fiction,2010,ALBERT Fleur,LA HUIT PRODUCTION
243,TOMBOY,Fiction,2010,SCIAMMA Celine,HOLD UP FILMS ET PRODUCTIONS
