Mr Gay Syria,Docu,2018,TOPRAK Ayse,LES FILMS D'ANTOINE
Never grow old,Fiction,2018,KAVANAGH Ivan,REZO PRODUCTIONS
Shine your eyes,Fiction,2018,MARIANI Matias,MPM FILM
Skokan,Fiction,2018,VACLAV Petr,CINEMA DEFACTO
Belle et Sebastien 3 : le dernier chapitre,Fiction,2017,CORNILLAC Clovis,RADAR FILMS ET EPITHeTE FILMS
Intime conviction,Fiction,2017,RAIMBAULT Antoine,DELANTE FILMS ET DELANTE CINeMA
Madame B histoire d'une nord-coreenne,Docu,2017,YUN Jero,ZORBA PRODUCTION
Mariana,Fiction,2017,SAID Marcela,CINeMA DEFACTO
Mon tissu prefere,Fiction,2017,JIJI Gaya,GLORIA FILMS ET DUBLIN FILMS
Polaire,Docu,2017,COLLARDEY Samuel,GEKO FILMS
Train de vies,Fiction,2017,VECCHIALI Paul,DIALECTIK
Une jeunesse sauvage,Fiction,2017,CARPENTIER Frederic,MADELEINE FILMS
9 doigts,Fiction,2016,OSSANG Francois Jacques,10 : 15 PRODUCTIONS
Alibi.com,Fiction,2016,LACHAUX Philippe,FECHNER FILMS
Bad buzz,Fiction,2016,KAZANDJIAN Stephane,ECHO FILMS
Cherchez la femme,Fiction,2016,ABADI Sou,THE FILM
Seuls,Fiction,2016,MOREAU David,ECHO FILMS
Si tu voyais son coeur,Fiction,2016,CHEMLA Joan,NORD-OUEST FILMS
Sivoupleee,Fiction,2016,DE CHAUVERON Philippe,PULSAR PRODUCTIONS
La Cordillera,Fiction,2016,MITRE Santiago,MANEKI FILMS
HOW I KILLED A SAINT,Fiction,2004,STRUGAR MITEVSKA Teona,SILKROAD PRODUCTION
VENDREDI OU UN AUTRE JOUR,Fiction,2004,LE MOINE Yvan,ARTISAN FILMS
CLAIR OBSCUR,Fiction,2011,VON WACKERBARTH Nicolas,LES FILMS D'ANTOINE
QUEEN OF MONTREUIL,Fiction,2011,ANSPACH Solveig,EX NIHILO
REVES DE POUSSIERE,Fiction,2005,SALGUES Laurent,ATHENAISE
13 M?,Fiction,2008,GROSSMAN Barthelemy,NESSVA FILMS
ORLY POEM 1-4,Fiction,2009,SCHANELEC Angela,LA VIE EST BELLE FILMS ASSOCIES
Eva et Leon,Fiction,2014,CHERPITEL Emilie,ELIANEANTOINETTE
GIRAFFADA,Fiction,2012,MASSALHA Rani,MACT PRODUCTIONS
Belle fille,Fiction,2018,MARCAGGI Meliane,MY FAMILY
Premieres solitudes,Docu,2018,SIMON Claire,SOPHIE DULAC PRODUCTIONS
Technoboss,Fiction,2018,NICOLAU Joao,SHELLAC SUD
We blew it,Docu,2018,THORET Jean-Baptiste,SECTION 5
Au poste,Fiction,2017,DUPIEUX Quentin,L'ATELIER DE PRODUCTION
Bonnes meres,Fiction,2017,HERZI Hafsia,QUAT'SOUS FILMS
